n_year,nombre_estado,cve_ent,genero,pob_start_year,pob_mid_year
1975,Aguascalientes,01,Total,432332,440897
1975,Baja California,02,Hombres,519509,526190
1975,Baja California,02,Mujeres,521415,528385
1975,Baja California,02,Total,1040924,1054575
1975,Baja California Sur,03,Hombres,86744,88798
1975,Baja California Sur,03,Mujeres,82214,84171
1975,Baja California Sur,03,Total,168958,172969
1975,Campeche,04,Hombres,170366,174328
1975,Campeche,04,Mujeres,167119,170982
1975,Campeche,04,Total,337485,345310
1975,Chiapas,07,Hombres,971824,983169
1975,Chiapas,07,Mujeres,938867,949395
1975,Chiapas,07,Total,1910691,1932564
1975,Chihuahua,08,Hombres,935523,943946
1975,Chihuahua,08,Mujeres,926559,935931
1975,Chihuahua,08,Total,1862082,1879877
1975,Ciudad de México,09,Hombres,3930740,3974375
1975,Ciudad de México,09,Mujeres,4179110,4225603
1975,Ciudad de México,09,Total,8109850,8199978
1975,Coahuila,05,Hombres,681131,690809
1975,Coahuila,05,Mujeres,669780,679913
1975,Coahuila,05,Total,1350911,1370722
1975,Colima,06,Hombres,149822,152273
1975,Colima,06,Mujeres,147824,150296
1975,Colima,06,Total,297646,302569
1975,Durango,10,Hombres,552807,557935
1975,Durango,10,Mujeres,536823,542571
1975,Durango,10,Total,1089630,1100506
1975,Estado de México,15,Hombres,2806147,2893248
1975,Estado de México,15,Mujeres,2769733,2858072
1975,Estado de México,15,Total,5575880,5751320
1975,Guanajuato,11,Hombres,1358806,1375023
1975,Guanajuato,11,Mujeres,1352555,1369939
1975,Guanajuato,11,Total,2711361,2744962
1975,Guerrero,12,Hombres,973405,985069
1975,Guerrero,12,Mujeres,967489,978749
1975,Guerrero,12,Total,1940894,1963818
1975,Hidalgo,13,Hombres,714707,722670
1975,Hidalgo,13,Mujeres,701973,709377
1975,Hidalgo,13,Total,1416680,1432047
1975,Jalisco,14,Hombres,1963068,1987300
1975,Jalisco,14,Mujeres,2003104,2029340
1975,Jalisco,14,Total,3966172,4016640
1975,Michoacán,16,Hombres,1363573,1374819
